epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6544,0.40433,0.80571,1.03405,0.99639,1,0.995,0.97679,0.27142,0.30419,0.99772,0.000207965,0.000207965,0.000207965
2,99.6162,0.19314,0.19449,0.91808,0.99821,1,0.995,0.98021,0.24247,0.21631,0.98584,0.000375084,0.000375084,0.000375084
3,136.174,0.16756,0.14591,0.90755,0.99886,1,0.995,0.99447,0.17898,0.13313,0.97155,0.000500954,0.000500954,0.000500954
4,171.661,0.13704,0.11873,0.89904,0.99913,1,0.995,0.99488,0.18903,0.1776,0.96876,0.000439375,0.000439375,0.000439375
5,208.457,0.1182,0.10767,0.89769,0.9991,1,0.995,0.995,0.18114,0.24639,0.96803,0.0003775,0.0003775,0.0003775
6,245.053,0.10691,0.0948,0.89165,0.99912,1,0.995,0.99378,0.22611,0.33367,0.9748,0.000315625,0.000315625,0.000315625
7,282.101,0.09586,0.08243,0.89173,0.99866,1,0.995,0.97958,0.18083,0.31431,0.97945,0.00025375,0.00025375,0.00025375
8,318.16,0.08007,0.07069,0.89421,0.99929,1,0.995,0.995,0.16121,0.17796,0.96366,0.000191875,0.000191875,0.000191875
9,353.912,0.07456,0.06578,0.89003,0.99925,1,0.995,0.995,0.15876,0.20552,0.96552,0.00013,0.00013,0.00013
10,389.615,0.0633,0.05758,0.88834,0.99937,1,0.995,0.995,0.22765,0.41798,1.00512,6.8125e-05,6.8125e-05,6.8125e-05
