epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7676,0.8012,1.43459,1.13732,0.99339,1,0.995,0.96523,0.30949,1.00843,1.05611,0.000207965,0.000207965,0.000207965
2,80.3147,0.43747,0.57421,0.9716,0.99885,1,0.995,0.97362,0.26303,0.46469,1.0114,0.000395691,0.000395691,0.000395691
3,115.921,0.39876,0.51848,0.95098,0.99598,1,0.995,0.97593,0.24146,1.1565,1.00021,0.000562793,0.000562793,0.000562793
4,151.409,0.35881,0.47217,0.93566,0.99864,1,0.995,0.9808,0.19871,0.78396,0.98923,0.000532187,0.000532187,0.000532187
5,188.872,0.32957,0.44069,0.92619,0.9987,1,0.995,0.98714,0.16314,1.12597,0.98137,0.00050125,0.00050125,0.00050125
6,226.334,0.3065,0.41301,0.92154,0.99871,1,0.995,0.98742,0.1601,0.95944,0.97859,0.000470312,0.000470312,0.000470312
7,262.494,0.28736,0.39404,0.91475,0.99898,1,0.995,0.99311,0.13981,0.96148,0.9729,0.000439375,0.000439375,0.000439375
8,298.634,0.27899,0.38941,0.91464,0.99894,1,0.995,0.98265,0.15915,1.00167,0.9813,0.000408438,0.000408438,0.000408438
9,334.519,0.26447,0.37164,0.91285,0.99882,1,0.995,0.99295,0.11829,1.11895,0.97123,0.0003775,0.0003775,0.0003775
10,370.351,0.25084,0.36027,0.90953,0.99897,1,0.995,0.99348,0.10499,1.00051,0.96803,0.000346563,0.000346563,0.000346563
11,427.833,0.11025,0.1072,0.89155,0.99916,1,0.995,0.995,0.08908,0.08794,0.96173,0.000315625,0.000315625,0.000315625
12,464.413,0.09386,0.08525,0.8875,0.99913,1,0.995,0.995,0.07894,0.08288,0.96029,0.000284688,0.000284688,0.000284688
13,499.819,0.08477,0.0784,0.88969,0.99935,1,0.995,0.995,0.0745,0.07673,0.95942,0.00025375,0.00025375,0.00025375
14,535.504,0.07649,0.0698,0.88511,0.99941,1,0.995,0.995,0.07839,0.07006,0.96,0.000222813,0.000222813,0.000222813
15,571.35,0.07081,0.06608,0.89004,0.99912,1,0.995,0.995,0.0694,0.06549,0.95945,0.000191875,0.000191875,0.000191875
16,607.053,0.06679,0.06217,0.88746,0.99929,1,0.995,0.995,0.06942,0.07039,0.95839,0.000160938,0.000160938,0.000160938
17,642.717,0.0613,0.05775,0.88057,0.99948,1,0.995,0.995,0.06386,0.07147,0.95789,0.00013,0.00013,0.00013
18,678.618,0.05465,0.05251,0.88658,0.99976,1,0.995,0.995,0.06049,0.0678,0.95733,9.90625e-05,9.90625e-05,9.90625e-05
19,714.489,0.05151,0.04927,0.88507,0.99975,1,0.995,0.995,0.06555,0.07105,0.95772,6.8125e-05,6.8125e-05,6.8125e-05
20,750.748,0.04497,0.04476,0.88387,0.99978,1,0.995,0.995,0.06541,0.07275,0.95729,3.71875e-05,3.71875e-05,3.71875e-05
